Cipher,LUT,bit_slice,Permutation,Involution,Diff,DiffFreq,Diff1,CardD1,Lin,LinFreq,Lin1,CardL1,max_degree,min_degree,MaxDegreeFreq,MinDegreeFreq,Max_ProductDegrees,LS_number,"max_v (v, w)-linear","max_w (v, w)-linear",Optimal_Class,Cost (GE) TSMC65nm,Cost is Best ,inv_LUT,inv_bit_slice,inv_max_degree,inv_min_degree,inv_MaxDegreeFreq,inv_MinDegreeFreq,inv_Max_ProductDegrees,inv_LS_number,"inv_max_v (v, w)-linear","inv_max_w (v, w)-linear",inv_Optimal_Class
Piccolo,0e040b0203080009010a070f060c050d,aaa5_fc03_1e1d_cd94,True,False,4,24,4,4,8,36,8,7,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G8,0,-,06080304010e0c0a050709020d0f000b,b4e2_3369_aaa5_b714,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G8
Pride,0004080f01050e0902070a0c0b0d0603,3ccc_6a6a_d748_b2b8,True,True,4,24,4,5,8,36,8,8,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G8,0,-,0004080f01050e0902070a0c0b0d0603,3ccc_6a6a_d748_b2b8,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G8
Prost,0004080f01050e0902070a0c0b0d0603,3ccc_6a6a_d748_b2b8,True,True,4,24,4,5,8,36,8,8,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G8,0,-,0004080f01050e0902070a0c0b0d0603,3ccc_6a6a_d748_b2b8,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G8
Rectangle,06050c0a010e07090b00030d080f0402,39ac_6867_a569_2dd2,True,False,4,24,2,2,8,36,4,2,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G1,0,-,09040f0a0e0100060c070308020b050d,a91d_c396_369c_e625,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G1
REC_0,09040f0a0e0100060c070308020b050d,a91d_c396_369c_e625,True,False,4,24,2,2,8,36,4,2,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G1,0,-,06050c0a010e07090b00030d080f0402,39ac_6867_a569_2dd2,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G1
LBlock_8,08070e050f0d00060b0c090a02040103,0f35_22be_9996_c53a,True,False,4,24,4,4,8,36,8,6,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G8,0,-,060e0c0f0d030701000a0b0809050204,1e1e_a05f_466b_34f8,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G8
LBlock_9,0b050f000702090d0408010c0e0a0306,3ac5_9996_f035_44d7,True,False,4,24,4,4,8,36,8,6,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G8,0,-,030a050e08010f0409060d000b070c02,555a_66cc_b24b_3565,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G8
LBlock_6,0b09040e000f0a0d060c050703080102,22eb_0fac_9969_5ca3,True,False,4,24,4,4,8,36,8,6,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G8,0,-,040e0f0c020a080b0d01060009070305,11ee_a50f_64b6_f384,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G8
LBlock_7,0d0a0f000e04090b0201080307050c06,44d7_f035_9996_3ac5,True,False,4,24,4,4,8,36,8,6,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G8,0,-,0309080b050d0f0c0a0601070e000402,11ee_5af0_9b49_0c7b,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G8
LBlock_4,0e050f0007020c0d010804090b0a0603,3ac5_44d7_f035_9996,True,False,4,24,4,4,8,36,8,6,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G8,0,-,0308050f0a010e04090b0d0c06070002,0f5a_3ccc_b259_272d,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G8
LBlock_1,040b0e090f0d000a070c050602080103,22be_0f35_9996_c53a,True,False,4,24,4,4,8,36,8,6,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G8,0,-,060e0c0f000a0b080d03070109050204,11ee_a50f_466b_3f48,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G8
LBlock_5,020d0b0c0f0e0009070a060301080405,22be_c53a_0f35_9996,True,False,4,24,4,4,8,36,8,6,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G8,0,-,060c000b0e0f0a080d07090203010504,05fa_c333_1a79_7728,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G8
LBlock_2,010e070c0f0d00060b0509030204080a,c53a_22be_9996_0f35,True,False,4,24,4,4,8,36,8,6,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G8,0,-,06000c0b0d0907020e0a0f0803050104,0f3c_a555_17c9_7478,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G8
LBlock_3,0706080b000f030e090a0c0d05020401,0fac_5ca3_22eb_9969,True,False,4,24,4,4,8,36,8,6,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G8,0,-,040f0d060e0c0100020809030a0b0705,3636_c03f_791a_ec46,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G8
LBlock_0,0e090f000d040a0b0102080307060c05,44d7_f035_3ac5_9996,True,False,4,24,4,4,8,36,8,6,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G8,0,-,0308090b050f0d0c0a0106070e040002,11ee_3cf0_9d29_0a7d,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G8
