Cipher,LUT,bit_slice,Permutation,Involution,Diff,DiffFreq,Diff1,CardD1,Lin,LinFreq,Lin1,CardL1,max_degree,min_degree,MaxDegreeFreq,MinDegreeFreq,Max_ProductDegrees,LS_number,"max_v (v, w)-linear","max_w (v, w)-linear",Optimal_Class,Cost (GE) TSMC65nm,Cost is Best ,inv_LUT,inv_bit_slice,inv_max_degree,inv_min_degree,inv_MaxDegreeFreq,inv_MinDegreeFreq,inv_Max_ProductDegrees,inv_LS_number,"inv_max_v (v, w)-linear","inv_max_w (v, w)-linear",inv_Optimal_Class
keccak,00050a0b14111617090c03020d080f0e1215181b060104071a1d10131e191c1f,ff0f00f0_f30cf30c_d2d2d2d2_9999cccc_aaaa55aa,True,False,8,20,8,5,16,40,16,5,2,2,31,31,[2|4|4|4|5],91,"(4, 2)","(3, 4)",-,0,-,00150b0a160114170d080203090c0f0e1a05101b04110607121d18131e191c1f,ff2d00d2_f609f30c_d2d2e1d2_99c9cc9c_aaaa59a6,3,3,31,31,[3|3|4|4|5],10,"(3, 2)","(1, 4)",-
Ascon,040b1f141a1509021b0508121d03061c1e13070e000d1118100c0119160a0f17,99c3993c_6aa99556_d22dd22d_f00f6996_cc663366,True,False,8,20,0,0,16,40,0,0,2,2,31,31,[2|4|4|4|5],91,"(4, 2)","(3, 4)",-,0,-,141a070d00090e120a061d011915131e18160b1103051c1f171b04080f0c1002,43cbf483_3ac5956a_35e2a64d_9396c3c6_13bc7c2c,3,3,31,31,[3|3|4|4|5],10,"(3, 2)","(1, 4)",-
Fides_5,0100191a111d151b140504170e12021c0f0806030d0718101e091f0a160c0b13,95c0a9fc_6f5390ac_35359f60_dd2d7888_c6390af5,True,False,2,496,2,11,8,496,8,11,2,2,31,31,[2|4|4|4|5],31,"(3, 2)","(2, 4)",-,0,-,01000e130a09121511191b1e1d140c1017040d1f08061c0b160203070f05181a,c149bfc8_d0dc5e34_396f7884_9fa90c5c_3c8d17a9,3,3,31,31,[3|3|4|4|5],0,"(2, 1)","(1, 4)",-
SC2000_5,141a071f130c0a0f161e0d0e041809121b0b01150610021c1705080300111d19,e1a9a31b_c4836eea_43981fad_09538bde_eb0f449c,True,False,2,496,2,14,8,496,8,13,3,3,31,31,[3|3|4|4|5],0,"(2, 1)","(1, 4)",-,0,-,1c12161b0c1914021a0e0611050a0b07151d0f04001308180d1f0110171e0903,3aa3096f_63c66339_330f9655_b224e78e_d727d828,2,2,31,31,[2|4|4|4|5],31,"(3, 2)","(2, 4)",-
icepole,1f050a0b14111617090c03020d080f0e1215181b060104071a1d10131e191c00,7f0f00f1_730cf30d_52d2d2d3_1999cccd_2aaa55ab,True,False,8,10,8,5,16,30,12,25,4,2,16,15,[4|4|4|4|5],46,"(4, 1)","(2, 4)",-,0,-,1f150b0a160114170d080203090c0f0e1a05101b04110607121d18131e191c00,7f2d00d3_7609f30d_52d2e1d3_19c9cc9d_2aaa59a7,4,3,16,15,[4|4|4|4|5],5,"(3, 1)","(1, 4)",-
APN_S0,0001020403060810050a0f1b131d1f14071219150c0e181c1a0b170d1e091116,d5cef880_3bf46e40_9cb9e528_97235e34_6e0d7d12,True,False,2,496,2,14,12,31,12,19,4,4,31,31,[4|4|4|4|5],0,"(1, 4)","(1, 4)",-,0,-,0001020403080510061d0919141b150a071e110c0f131f1a1612180b170d1c0e,57e67a80_ecdaae20_f15b5348_9bf3a114_38756e52,4,4,31,31,[4|4|4|4|5],0,"(1, 4)","(1, 4)",-
APN_S1,0001020403080d10050b151f170f131e061c1d09181b0e120a110c1a07191416,eab6dc80_2d7eaa60_d447bd48_99e1fa14_322c7f52,True,False,2,496,2,13,8,496,8,15,3,3,31,31,[3|3|4|4|5],0,"(2, 1)","(1, 4)",-,0,-,000102040308101c051318091a06160d0719170e1e0a1f0c141d1b1511120f0b,3f5656c0_c6fa9ca0_4bdde188_e47d7214_de478b12,2,2,31,31,[2|4|4|4|5],31,"(3, 2)","(2, 4)",-
APN_S2,0001020403080d1005111c1b1e0e180a06130b141f1d0c15121a0f1907161709,6bba5e80_8e74fc60_74f93548_7717b814_dcb60b52,True,False,2,496,2,16,8,496,8,14,3,3,31,31,[3|3|4|4|5],0,"(2, 1)","(1, 4)",-,0,-,000102040308101c051f0f1216060d1a0709181113171d1e0e1b190b0a150c14,a6fc9ac0_5fc6c6a0_e1e17788_1bb1be14_2e7b4712,2,2,31,31,[2|4|4|4|5],31,"(3, 2)","(2, 4)",-
APN_S3,000102040308101c050a191112171f1d06140d18130b09161b070e151a0c1e0f,599afcc0_f56cc6a0_ee87e188_d7b17214_8b74ed12,True,False,2,496,2,13,8,496,8,17,2,2,31,31,[2|4|4|4|5],31,"(3, 2)","(2, 4)",-,0,-,0001020403081019051609151d121a1f060b0c14111b170d130a1c18070f1e0e,4d78fac0_eea6d4a0_f4cd9b08_f363e214_31f29d92,3,3,31,31,[3|3|4|4|5],0,"(2, 1)","(1, 4)",-
APN_S4,000102040308101c050a1a1211141f1d0615180c160f19070e130d17091e1b0b,6a56fcc0_f56cc6a0_2dbbe188_ebb14e14_dee2d112,True,False,2,496,2,14,8,496,8,14,2,2,31,31,[2|4|4|4|5],31,"(3, 2)","(2, 4)",-,0,-,0001020403081017051c091f131a1815060c0b190d11141b12160a1e070f1d0e,4be8fac0_ec9e6e20_fa538b88_bf853894_70bc9d92,3,3,31,31,[3|3|4|4|5],0,"(2, 1)","(1, 4)",-
