Cipher,LUT,bit_slice,Permutation,Involution,Diff,DiffFreq,Diff1,CardD1,Lin,LinFreq,Lin1,CardL1,max_degree,min_degree,MaxDegreeFreq,MinDegreeFreq,Max_ProductDegrees,LS_number,"max_v (v, w)-linear","max_w (v, w)-linear",Optimal_Class,Cost (GE) TSMC65nm,Cost is Best ,inv_LUT,inv_bit_slice,inv_max_degree,inv_min_degree,inv_MaxDegreeFreq,inv_MinDegreeFreq,inv_Max_ProductDegrees,inv_LS_number,"inv_max_v (v, w)-linear","inv_max_w (v, w)-linear",inv_Optimal_Class
001,0400010f020b060703090a050c0d0e08,f628_78c9_45f8_2bac,True,False,4,15,4,7,8,30,8,11,3,3,15,15,[3|3|3|4],0,"(2, 2)","(1, 3)",G13,0,-,01020408000b06070f090a050c0d0e03,7728_79c4_c5e2_aba1,3,3,15,15,[3|3|3|4],0,"(2, 2)","(1, 3)",G13
002,0800010c0205060904030a0b070d0e0f,ec89_f168_de50_baa4,True,False,4,15,4,7,8,30,8,12,3,3,15,15,[3|3|3|4],0,"(2, 2)","(1, 3)",G6,0,-,010204090805060c00070a0b030d0e0f,ec98_e2e4_de42_ba29,3,3,15,15,[3|3|3|4],0,"(2, 2)","(1, 3)",G6
003,0800010c0f05060704030a0b090d0e02,7c19_61f8_ced0_3ab4,True,False,4,15,4,7,8,30,8,10,3,3,15,15,[3|3|3|4],0,"(2, 2)","(1, 3)",G3,0,-,01020f0908050607000c0a0b030d0e04,6e1c_e2e4_5cc6_38ad,3,3,15,15,[3|3|3|4],0,"(2, 2)","(1, 3)",G3
004,02000108030d060704090a050c0b0e0f,f628_d9e0_e4d1_aab4,True,False,4,15,4,10,8,30,8,11,3,3,15,15,[3|3|3|4],0,"(2, 2)","(1, 3)",G4,0,-,01020004080b060703090a0d0c050e0f,de30_f8c8_c5e2_aba1,3,3,15,15,[3|3|3|4],0,"(2, 2)","(1, 3)",G4
005,02000108030f06070409050b0c0d0e0a,fa28_75e0_c8f1_2eb4,True,False,4,15,4,12,8,30,8,10,3,3,15,15,[3|3|3|4],0,"(2, 2)","(1, 3)",G7,0,-,01020004080a060703090f0b0c0d0e05,7e30_f4c8_4de2_af81,3,3,15,15,[3|3|3|4],0,"(2, 2)","(1, 3)",G7
006,02000108030b060704090a0f0c0d0e05,7e28_f9c0_4cf1_aab4,True,False,4,15,4,10,8,30,8,11,3,3,15,15,[3|3|3|4],0,"(2, 2)","(1, 3)",G5,0,-,01020004080f060703090a050c0d0e0b,f630_78e8_c5e2_aba1,3,3,15,15,[3|3|3|4],0,"(2, 2)","(1, 3)",G5
007,04080102030b060700090a0e0c0d050f,be22_f8c1_8cf8_e2b4,True,False,4,15,4,9,8,30,8,12,3,3,15,15,[3|3|3|4],0,"(2, 2)","(1, 3)",G12,0,-,08020304000e060701090a050c0d0b0f,f621_b8e8_c4e6_eb84,3,3,15,15,[3|3|3|4],0,"(2, 2)","(1, 3)",G12
008,0800010902050d0704060a0b0c030e0f,dc49_d3e0_ee90_a8ec,True,False,4,15,4,8,8,30,8,13,3,3,15,15,[3|3|3|4],0,"(2, 2)","(1, 3)",G11,0,-,0102040d0805090700030a0b0c060e0f,dc58_f0ac_ee82_8ae9,3,3,15,15,[3|3|3|4],0,"(2, 2)","(1, 3)",G11
009,080e010203050607040c0a0b090d000f,be03_a3e2_8cda_b8b4,True,False,4,18,4,8,8,32,8,12,3,2,14,1,[3|3|3|4],3,"(3, 1)","(1, 3)",G9,0,-,0e02030408050607000c0a0b090d010f,be11_a2e9_8cc7_f8a4,3,2,14,1,[3|3|3|4],3,"(3, 1)","(1, 3)",G9
010,080e01020305060704090f0b0c0d000a,be03_35e2_8cda_2eb4,True,False,4,18,4,7,8,32,8,10,3,2,14,1,[3|3|3|4],3,"(3, 1)","(1, 3)",G14,0,-,0e0203040805060700090f0b0c0d010a,be11_34e9_8cc7_6ea4,3,2,14,1,[3|3|3|4],3,"(3, 1)","(2, 3)",G15
